Country,Region,ISO_Code
Albania,Europe & North America,ALB
Algeria,Arab States,DZA
Angola,Africa,AGO
Argentina,Latin America & the Caribbean,ARG
Armenia,Europe & North America,ARM
Australia,Asia & the Pacific,AUS
Austria,Europe & North America,AUT
Azerbaijan,Asia & the Pacific,AZE
Bahrain,Arab States,BHR
Belarus,Europe & North America,BLR
Belgium,Europe & North America,BEL
Benin,Africa,BEN
Brazil,Latin America & the Caribbean,BRA
Canada,Europe & North America,CAN
China,Asia & the Pacific,CHN
Congo,Africa,COG
Costa Rica,Latin America & the Caribbean,CRI
Cuba,Latin America & the Caribbean,CUB
Cyprus,Europe & North America,CYP
Czechia,Europe & North America,CZE
Côte d'Ivoire,Africa,CIV
Denmark,Europe & North America,DNK
Dominican Republic,Latin America & the Caribbean,DOM
Ecuador,Latin America & the Caribbean,ECU
Egypt,Arab States,EGY
Finland,Europe & North America,FIN
France,Europe & North America,FRA
Gambia,Africa,GMB
Georgia,Europe & North America,GEO
Germany,Europe & North America,DEU
Greece,Europe & North America,GRC
Guinea-Bissau,Africa,GNB
Hungary,Europe & North America,HUN
India,Asia & the Pacific,IND
Indonesia,Asia & the Pacific,IDN
Iran (Islamic Republic of),Asia & the Pacific,IRN
Ireland,Europe & North America,IRL
Italy,Europe & North America,ITA
Japan,Asia & the Pacific,JPN
Latvia,Europe & North America,LVA
Libya,Arab States,LBY
Lithuania,Europe & North America,LTU
Luxembourg,Europe & North America,LUX
Malaysia,Asia & the Pacific,MYS
Mali,Africa,MLI
Mauritania,Arab States,MRT
Mauritius,Africa,MUS
Mexico,Latin America & the Caribbean,MEX
Mongolia,Asia & the Pacific,MNG
Morocco,Arab States,MAR
Netherlands (Kingdom of the),Europe & North America,NLD
Niger,Africa,NER
Nigeria,Africa,NGA
North Macedonia,Europe & North America,MKD
Norway,Europe & North America,NOR
Pakistan,Asia & the Pacific,PAK
Peru,Latin America & the Caribbean,PER
Philippines,Asia & the Pacific,PHL
Portugal,Europe & North America,PRT
Qatar,Arab States,QAT
Republic of Korea,Asia & the Pacific,KOR
Romania,Europe & North America,ROU
Russian Federation,Asia & the Pacific,RUS
Saudi Arabia,Arab States,SAU
Senegal,Africa,SEN
Sierra Leone,Africa,SLE
Slovakia,Europe & North America,SVK
Slovenia,Europe & North America,SVN
South Africa,Africa,ZAF
State of Palestine,Arab States,PSE
Sweden,Europe & North America,SWE
Switzerland,Europe & North America,CHE
Thailand,Asia & the Pacific,THA
Timor-Leste,Asia & the Pacific,TLS
Togo,Africa,TGO
Tunisia,Africa,TUN
Türkiye,Europe & North America,TUR
Uganda,Africa,UGA
Ukraine,Europe & North America,UKR
United Republic of Tanzania,Africa,TZA
Uzbekistan,Asia & the Pacific,UZB
